"","Year","Age","Result","Variable","Group","Run","Scenario","Estimate"
"62",2,7,87329.897193604,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"63",3,7,71696.6376928234,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"64",4,7,50412.9897117077,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"65",5,7,47385.5594818635,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"66",6,7,27010.8866703841,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"67",7,7,17936.3869775287,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"68",8,7,17173.5310826038,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"69",9,7,15511.1107613569,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"70",10,7,16361.5391694484,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"71",1,8,66304.9928847655,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"72",2,8,40974.9995785303,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"73",3,8,80998.7644344512,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"74",4,8,66476.1252626467,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"75",5,8,46749.2132322308,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"76",6,8,43926.7558878828,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"77",7,8,25030.5106545979,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"78",8,8,16624.1479999182,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"79",9,8,15919.7010421091,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"80",10,8,14373.9119498656,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"81",1,9,36265.3725706546,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"82",2,9,61170.1071468155,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"83",3,9,37767.1583420523,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"84",4,9,74589.3152657344,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
"85",5,9,61240.3388875261,"Numbers","Pre-Adulto",1,"w/ Aquaculture","Central"
